epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,11113.4,0.81676,1.16189,0.78384,0.9955,0.62458,0.73667,0.72156,0.53275,0.64308,0.74066,0.7246,0.51552,0.82971,1.13778,0.68511,0.99687,0.000880023,0.000880023,0.000880023
44,11370.7,0.80489,1.1211,0.8004,1.00516,0.53434,0.76812,0.69649,0.50603,0.5289,0.76505,0.69402,0.48,0.85198,1.18548,0.73155,1.00822,0.000874524,0.000874524,0.000874524
45,11628.3,0.81963,1.15759,0.74449,0.98955,0.61671,0.72864,0.72394,0.52665,0.6164,0.72759,0.72098,0.51285,0.82297,1.1667,0.67387,0.98444,0.000869024,0.000869024,0.000869024
46,11885,0.78469,1.09645,0.72736,0.97444,0.6212,0.72294,0.68809,0.50261,0.6238,0.72948,0.694,0.49073,0.84409,1.16147,0.71544,1.00519,0.000863525,0.000863525,0.000863525
47,12142.3,0.79058,1.0745,0.71188,0.972,0.66834,0.70422,0.72334,0.53359,0.67562,0.72636,0.7264,0.50237,0.83418,1.16787,0.68648,0.99435,0.000858025,0.000858025,0.000858025
48,12399.7,0.78919,1.08276,0.72632,0.9778,0.71926,0.68229,0.73216,0.53527,0.72016,0.68374,0.7334,0.52496,0.82029,1.1253,0.6796,0.99217,0.000852526,0.000852526,0.000852526
49,12657.2,0.77804,1.07237,0.75205,0.96999,0.66958,0.7139,0.74325,0.54945,0.6686,0.71267,0.74323,0.5302,0.81638,1.14596,0.68566,0.98879,0.000847026,0.000847026,0.000847026
50,12914.8,0.77098,1.11893,0.7213,0.9777,0.62515,0.60387,0.69264,0.5108,0.6247,0.60351,0.69455,0.48543,0.83561,1.13706,0.77149,0.99442,0.000841527,0.000841527,0.000841527
51,13172.3,0.75936,1.04709,0.69579,0.95832,0.66633,0.74575,0.71863,0.52629,0.65508,0.73902,0.71104,0.50624,0.8171,1.13206,0.67766,0.97492,0.000836027,0.000836027,0.000836027
52,13429.5,0.78312,1.09775,0.72584,0.97859,0.59733,0.73092,0.701,0.5268,0.57572,0.74924,0.69758,0.49507,0.80334,1.15187,0.67177,0.98926,0.000830528,0.000830528,0.000830528
53,13686.9,0.76615,1.06826,0.71505,0.96556,0.63285,0.76825,0.74459,0.54591,0.63358,0.76913,0.74512,0.52296,0.82863,1.15014,0.65357,0.99143,0.000825029,0.000825029,0.000825029
54,13944.2,0.77173,1.09987,0.70169,0.97404,0.66762,0.59354,0.70907,0.51795,0.67168,0.59587,0.71016,0.49733,0.83069,1.11693,0.66774,0.98835,0.000819529,0.000819529,0.000819529
55,14201.8,0.78095,1.08656,0.70595,0.97358,0.57994,0.7815,0.71845,0.53822,0.57828,0.77866,0.71712,0.51073,0.81006,1.11693,0.65627,0.99152,0.00081403,0.00081403,0.00081403
56,14458.9,0.75446,1.08178,0.68942,0.97263,0.70058,0.70743,0.74952,0.55065,0.66092,0.73493,0.74495,0.52833,0.81367,1.13354,0.68474,0.98868,0.00080853,0.00080853,0.00080853
57,14716.5,0.75941,1.0572,0.72496,0.95569,0.57154,0.70851,0.67889,0.49016,0.57189,0.70895,0.67622,0.47463,0.83742,1.19426,0.7024,1.00266,0.000803031,0.000803031,0.000803031
58,14974.5,0.75491,1.05823,0.69078,0.95919,0.59431,0.7116,0.70719,0.52678,0.59303,0.70932,0.69935,0.50622,0.81049,1.12271,0.66241,0.98012,0.000797531,0.000797531,0.000797531
59,15232,0.74392,1.02565,0.67091,0.95465,0.65578,0.77164,0.7202,0.53382,0.64981,0.76618,0.71412,0.50915,0.80683,1.15582,0.75246,0.98224,0.000792032,0.000792032,0.000792032
60,15489.7,0.74516,1.02042,0.67429,0.96805,0.62054,0.76036,0.72444,0.54252,0.62009,0.76114,0.72348,0.51994,0.79848,1.13017,0.6901,0.97572,0.000786532,0.000786532,0.000786532
61,15746.7,0.76023,1.01567,0.66409,0.96127,0.68284,0.76859,0.74292,0.56,0.68488,0.7589,0.74047,0.53789,0.79063,1.09809,0.66662,0.97418,0.000781033,0.000781033,0.000781033
62,16003.8,0.76996,1.00859,0.66215,0.96542,0.7405,0.64094,0.73185,0.5449,0.73801,0.63868,0.72745,0.52183,0.80805,1.15544,0.7031,0.98036,0.000775534,0.000775534,0.000775534
63,16261.4,0.74297,1.02274,0.65414,0.9619,0.59354,0.68265,0.70685,0.53161,0.59119,0.68091,0.70769,0.51497,0.80409,1.13292,0.66417,0.97932,0.000770034,0.000770034,0.000770034
64,16518.8,0.73878,1.03491,0.65372,0.94701,0.63449,0.73264,0.69855,0.52517,0.62734,0.75113,0.69619,0.49403,0.78871,1.11601,0.73708,0.96698,0.000764535,0.000764535,0.000764535
65,16776.4,0.73842,0.99818,0.64091,0.94835,0.65226,0.7586,0.73186,0.54983,0.64616,0.78217,0.73243,0.52719,0.78523,1.13312,0.67413,0.96582,0.000759035,0.000759035,0.000759035
66,17034.1,0.74348,1.06018,0.66333,0.96639,0.59918,0.77874,0.72046,0.55401,0.5987,0.78474,0.72436,0.52166,0.77459,1.14861,0.69025,0.96509,0.000753536,0.000753536,0.000753536
67,17291.3,0.73331,1.01023,0.62911,0.93827,0.6424,0.76008,0.7323,0.54555,0.64958,0.75562,0.73299,0.51629,0.81578,1.1636,0.64809,0.98347,0.000748036,0.000748036,0.000748036
68,17548.8,0.71038,1.02048,0.63214,0.94151,0.61099,0.79201,0.73478,0.54712,0.63902,0.75465,0.73691,0.52091,0.79481,1.14385,0.63354,0.98074,0.000742537,0.000742537,0.000742537
69,17805.9,0.73497,1.02316,0.63994,0.94907,0.65203,0.7295,0.71609,0.52461,0.64849,0.72474,0.71152,0.49163,0.84525,1.20331,0.65446,0.99354,0.000737037,0.000737037,0.000737037
70,18063.6,0.72665,0.97817,0.6064,0.9375,0.5902,0.74212,0.70215,0.52518,0.58415,0.76571,0.70334,0.49797,0.79355,1.12082,0.64776,0.96961,0.000731538,0.000731538,0.000731538
71,18320.8,0.7061,0.96715,0.60612,0.932,0.60891,0.7947,0.73105,0.54977,0.61366,0.80077,0.73407,0.52256,0.7856,1.12022,0.62055,0.97266,0.000726038,0.000726038,0.000726038
72,18577.8,0.73581,0.9829,0.61769,0.95103,0.62011,0.78664,0.72345,0.54577,0.62528,0.78327,0.72452,0.51788,0.79793,1.13603,0.65544,0.97873,0.000720539,0.000720539,0.000720539
73,18835.6,0.71388,0.94742,0.60923,0.93875,0.65352,0.71698,0.73391,0.54033,0.61414,0.74595,0.72992,0.51409,0.84102,1.18463,0.73153,1.00001,0.00071504,0.00071504,0.00071504
74,19092.9,0.717,0.9854,0.61894,0.95758,0.70255,0.72081,0.74784,0.56188,0.7002,0.73394,0.75059,0.54014,0.77858,1.13643,0.70062,0.96836,0.00070954,0.00070954,0.00070954
75,19351.2,0.72179,1.00684,0.61076,0.95256,0.67152,0.77433,0.74737,0.57344,0.67239,0.7752,0.75161,0.55244,0.78074,1.10465,0.64353,0.96673,0.000704041,0.000704041,0.000704041
76,19609.7,0.70174,0.97153,0.59313,0.93595,0.75246,0.78205,0.78319,0.57673,0.75442,0.78422,0.79079,0.54587,0.78233,1.12748,0.66411,0.97361,0.000698541,0.000698541,0.000698541
