epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10793.7,0.81763,1.16397,0.79841,1.01502,0.64614,0.72022,0.71928,0.52976,0.64801,0.72289,0.72839,0.51783,0.84072,1.17686,0.72441,1.00615,0.000885523,0.000885523,0.000885523
43,11050.4,0.81192,1.11455,0.76179,1.02788,0.6355,0.72212,0.69706,0.50245,0.64666,0.73126,0.70401,0.48887,0.86769,1.19079,0.75009,1.02907,0.000880023,0.000880023,0.000880023
44,11306.3,0.81071,1.11065,0.74702,1.02424,0.60735,0.74427,0.71788,0.51917,0.60817,0.74593,0.71955,0.50685,0.8299,1.12834,0.76027,1.00047,0.000874524,0.000874524,0.000874524
45,11562.7,0.81837,1.139,0.77402,1.02544,0.72706,0.69858,0.70319,0.51121,0.72422,0.69857,0.71604,0.48879,0.83885,1.16614,0.73974,1.01153,0.000869024,0.000869024,0.000869024
46,11818.9,0.78779,1.10848,0.75278,1.0029,0.65221,0.70812,0.72572,0.54135,0.65769,0.71194,0.73089,0.51589,0.80964,1.13271,0.71261,0.99841,0.000863525,0.000863525,0.000863525
47,12075.9,0.80819,1.13158,0.76405,1.01289,0.63901,0.68441,0.6912,0.51899,0.63987,0.68528,0.69548,0.49561,0.82852,1.13737,0.70743,1.00365,0.000858025,0.000858025,0.000858025
48,12331.8,0.77068,1.07281,0.72804,0.98834,0.59358,0.72043,0.68906,0.51831,0.59911,0.72895,0.69519,0.48582,0.81737,1.17989,0.75495,0.99699,0.000852526,0.000852526,0.000852526
49,12587.5,0.77657,1.06746,0.72754,0.98997,0.60345,0.66361,0.67589,0.48716,0.60413,0.66473,0.66883,0.45636,0.83804,1.22071,0.74819,1.0155,0.000847026,0.000847026,0.000847026
50,12843.7,0.76518,1.07707,0.7217,0.99876,0.58648,0.74276,0.69932,0.5146,0.62383,0.71921,0.70878,0.49039,0.8454,1.17997,0.7231,1.01011,0.000841527,0.000841527,0.000841527
51,13099.7,0.75302,1.067,0.72586,0.98952,0.61461,0.73766,0.69348,0.50366,0.61557,0.74805,0.69818,0.48183,0.83123,1.15813,0.71838,1.00553,0.000836027,0.000836027,0.000836027
52,13355.7,0.76495,1.06237,0.70845,0.98622,0.61093,0.78765,0.72848,0.53475,0.60877,0.77084,0.72726,0.50781,0.82667,1.1418,0.70904,1.00088,0.000830528,0.000830528,0.000830528
