epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4130.69,0.75083,1.01892,0.62163,0.99064,0.58942,0.73678,0.69361,0.49455,0.59213,0.73509,0.6892,0.45567,0.8014,1.17169,0.73221,1.07267,0.000885523,0.000885523,0.000885523
43,4228.45,0.7292,0.97792,0.60674,0.9945,0.70328,0.70416,0.71683,0.52337,0.70741,0.69637,0.71548,0.48979,0.81538,1.15202,0.71187,1.09792,0.000880023,0.000880023,0.000880023
44,4326.63,0.72419,1.00354,0.5938,0.98517,0.71073,0.63984,0.69377,0.50699,0.7152,0.65612,0.70617,0.47635,0.81255,1.19632,0.73987,1.09333,0.000874524,0.000874524,0.000874524
45,4424.57,0.73538,0.99375,0.63681,0.99051,0.70885,0.62639,0.69569,0.50972,0.71661,0.6246,0.68784,0.46834,0.81569,1.17402,0.76465,1.08455,0.000869024,0.000869024,0.000869024
46,4522.14,0.72853,0.9987,0.61857,0.98564,0.6968,0.71012,0.69758,0.51096,0.68638,0.70417,0.68016,0.45585,0.80021,1.13085,0.7197,1.08404,0.000863525,0.000863525,0.000863525
47,4619.68,0.73139,0.96356,0.57101,0.97756,0.70044,0.65014,0.69608,0.50625,0.69453,0.67248,0.68681,0.45814,0.83162,1.18106,0.76247,1.10229,0.000858025,0.000858025,0.000858025
48,4717.33,0.71125,0.9515,0.5839,0.97685,0.69883,0.68486,0.68998,0.49918,0.69117,0.68322,0.67849,0.46017,0.80591,1.13416,0.75027,1.08168,0.000852526,0.000852526,0.000852526
49,4814.82,0.69131,0.93318,0.55124,0.95166,0.63686,0.73105,0.71155,0.51788,0.62891,0.72888,0.70128,0.47344,0.79119,1.1248,0.69485,1.07522,0.000847026,0.000847026,0.000847026
50,4912.37,0.70349,0.94912,0.58662,0.97781,0.65236,0.73624,0.72032,0.51595,0.65192,0.73577,0.71886,0.49164,0.7934,1.13722,0.69381,1.07073,0.000841527,0.000841527,0.000841527
51,5010.13,0.70052,0.94996,0.5734,0.96951,0.6697,0.7277,0.69212,0.50109,0.68436,0.72766,0.70456,0.47835,0.80808,1.15074,0.72902,1.08078,0.000836027,0.000836027,0.000836027
52,5107.8,0.71042,0.95207,0.57673,0.97582,0.69287,0.69419,0.70232,0.51278,0.7045,0.70261,0.71199,0.47832,0.80557,1.15749,0.72462,1.08798,0.000830528,0.000830528,0.000830528
53,5205.61,0.69469,0.92238,0.57059,0.96493,0.637,0.66825,0.661,0.48852,0.63351,0.68581,0.66433,0.44641,0.81488,1.17275,0.75853,1.08718,0.000825029,0.000825029,0.000825029
54,5303.29,0.68392,0.89495,0.5562,0.94902,0.65218,0.68032,0.70167,0.51132,0.647,0.68988,0.70635,0.47546,0.78961,1.16539,0.73506,1.07413,0.000819529,0.000819529,0.000819529
55,5400.84,0.67231,0.90646,0.53733,0.94964,0.6895,0.71749,0.71239,0.52115,0.70282,0.69246,0.7118,0.48905,0.78954,1.14985,0.73135,1.06639,0.00081403,0.00081403,0.00081403
56,5498.74,0.67673,0.91719,0.53414,0.94948,0.67709,0.69399,0.71483,0.52502,0.67855,0.69708,0.71127,0.48393,0.7875,1.1305,0.68143,1.06514,0.00080853,0.00080853,0.00080853
57,5596.37,0.67176,0.88567,0.53985,0.94376,0.6941,0.69059,0.7124,0.52625,0.6952,0.6932,0.7074,0.48426,0.79184,1.22126,0.71458,1.07561,0.000803031,0.000803031,0.000803031
