object_id_x,class_id_x,class_name_x,bbox_x,area_m2_x,area_ft2_x,Ground Truth,Percentage difference,,object_id_y,class_id_y,class_name_y,bbox_y,,,,,file_y,source_file_y
,,,,243.1474399,2617.214728,2340,11.84678325,,,,"15910 Wagner Vogt Rd, Town of Chippewa.png","15910 Wagner Vogt Rd, Town of Chippewa.png_objects.csv",,,,,,
,,,,94.30097789,1015.046296,1120,-9.370866429,,,,"65548 Fischer Rd, Town of Chippewa.png","65548 Fischer Rd, Town of Chippewa.png_objects.csv",,,,,,
,,,,129.7575145,1396.696911,1292,8.103476084,,,,"65578 Fischer Rd, Town of Chippewa.png","65578 Fischer Rd, Town of Chippewa.png_objects.csv",,,,,,
,,,,102.2284127,1100.376411,1024,7.458633887,,,,"73740 Bear Lake Rd, Town of Chippewa.png","73740 Bear Lake Rd, Town of Chippewa.png_objects.csv",,,,,,
,,,,85.86082345,924.1973176,858,7.715305082,,,,"75771 West Rd, Town of Chippewa.png","75771 West Rd, Town of Chippewa.png_objects.csv",,,,,,
,,,,249.3000758,2683.441086,2652,1.185561312,,,,"76745 Bear Lake Rd, Town of Chippewa.png","76745 Bear Lake Rd, Town of Chippewa.png_objects.csv",,,,,,
,,,,143.2459857,1541.885465,"1,440",7.075379514,,,,"76745 Bear Lake Rd, Town of Chippewa.png","76745 Bear Lake Rd, Town of Chippewa.png_objects.csv",,,,,,
,,,,130.546314,1405.18747,1295,8.508684942,,,,"77234 Chippewa Lake Rd, Town of Chippewa.png","77234 Chippewa Lake Rd, Town of Chippewa.png_objects.csv",,,,,,
,,,,125.971277,1355.942229,"1,320",2.722896136,,,,"77805 West Rd, Town of Chippewa.png","77805 West Rd, Town of Chippewa.png_objects.csv",,,,,,
,,,,141.7867066,1526.177931,1568,-2.667223788,,,,"78214 West Rd, Town of Chippewa.png","78214 West Rd, Town of Chippewa.png_objects.csv",,,,,,
,,,,211.2799409,2274.196155,2376,-4.284673611,,,,"78310 Bear Lake Rd, Town of Chippewa.png","78310 Bear Lake Rd, Town of Chippewa.png_objects.csv",,,,,,
,,,,132.3605528,1424.715755,1424,0.050263694,,,,"78473 Bear Lake Rd, Town of Chippewa.png","78473 Bear Lake Rd, Town of Chippewa.png_objects.csv",,,,,,
,,,,132.5577527,1426.838394,1480,-3.592000405,,,,"78695 Weinberger Rd, Town of Chippewa.png","78695 Weinberger Rd, Town of Chippewa.png_objects.csv",,,,,,
,,,,290.1993289,3123.676556,2824,10.61177606,,,,"80322 Graf Rd, Town of Chippewa.png","80322 Graf Rd, Town of Chippewa.png_objects.csv",,,,,,
